edge_id,edge_type,from_node,to_node,from_type,to_type,position,tenure_start
EMPLOY_0001,EMPLOYED_BY,USER_001,ORG_001,Person,Company,董事长,2015-01-08
EMPLOY_0002,EMPLOYED_BY,USER_002,ORG_002,Person,Company,副董事长,2016-02-15
EMPLOY_0003,EMPLOYED_BY,USER_003,ORG_003,Person,Company,监事,2017-03-22
EMPLOY_0004,EMPLOYED_BY,USER_004,ORG_004,Person,Company,总经理,2018-04-04
EMPLOY_0005,EMPLOYED_BY,USER_005,ORG_005,Person,Company,副总经理,2019-05-11
EMPLOY_0006,EMPLOYED_BY,USER_006,ORG_006,Person,Company,财务总监,2020-06-18
EMPLOY_0007,EMPLOYED_BY,USER_007,ORG_007,Person,Company,法务总监,2021-07-25
EMPLOY_0008,EMPLOYED_BY,USER_008,ORG_008,Person,Company,风控负责人,2022-08-07
EMPLOY_0009,EMPLOYED_BY,USER_009,ORG_009,Person,Company,董事长,2023-09-14
EMPLOY_0010,EMPLOYED_BY,USER_010,ORG_010,Person,Company,副董事长,2015-10-21
EMPLOY_0011,EMPLOYED_BY,USER_011,ORG_011,Person,Company,监事,2016-11-03
EMPLOY_0012,EMPLOYED_BY,USER_012,ORG_012,Person,Company,总经理,2017-12-10
EMPLOY_0013,EMPLOYED_BY,USER_013,ORG_013,Person,Company,副总经理,2018-01-17
EMPLOY_0014,EMPLOYED_BY,USER_014,ORG_014,Person,Company,财务总监,2019-02-24
EMPLOY_0015,EMPLOYED_BY,USER_015,ORG_015,Person,Company,法务总监,2020-03-06
EMPLOY_0016,EMPLOYED_BY,USER_016,ORG_016,Person,Company,风控负责人,2021-04-13
EMPLOY_0017,EMPLOYED_BY,USER_017,ORG_017,Person,Company,董事长,2022-05-20
EMPLOY_0018,EMPLOYED_BY,USER_018,ORG_018,Person,Company,副董事长,2023-06-02
EMPLOY_0019,EMPLOYED_BY,USER_019,ORG_019,Person,Company,监事,2015-07-09
EMPLOY_0020,EMPLOYED_BY,USER_020,ORG_020,Person,Company,总经理,2016-08-16
EMPLOY_0021,EMPLOYED_BY,USER_021,ORG_001,Person,Company,副总经理,2017-09-23
EMPLOY_0022,EMPLOYED_BY,USER_022,ORG_002,Person,Company,财务总监,2018-10-05
EMPLOY_0023,EMPLOYED_BY,USER_023,ORG_003,Person,Company,法务总监,2019-11-12
EMPLOY_0024,EMPLOYED_BY,USER_024,ORG_004,Person,Company,风控负责人,2020-12-19
EMPLOY_0025,EMPLOYED_BY,USER_025,ORG_005,Person,Company,董事长,2021-01-01
EMPLOY_0026,EMPLOYED_BY,USER_026,ORG_006,Person,Company,副董事长,2022-02-08
EMPLOY_0027,EMPLOYED_BY,USER_027,ORG_007,Person,Company,监事,2023-03-15
EMPLOY_0028,EMPLOYED_BY,USER_028,ORG_008,Person,Company,总经理,2015-04-22
EMPLOY_0029,EMPLOYED_BY,USER_029,ORG_009,Person,Company,副总经理,2016-05-04
EMPLOY_0030,EMPLOYED_BY,USER_030,ORG_010,Person,Company,财务总监,2017-06-11
EMPLOY_0031,EMPLOYED_BY,USER_031,ORG_011,Person,Company,法务总监,2018-07-18
EMPLOY_0032,EMPLOYED_BY,USER_032,ORG_012,Person,Company,风控负责人,2019-08-25
EMPLOY_0033,EMPLOYED_BY,USER_033,ORG_013,Person,Company,董事长,2020-09-07
EMPLOY_0034,EMPLOYED_BY,USER_034,ORG_014,Person,Company,副董事长,2021-10-14
EMPLOY_0035,EMPLOYED_BY,USER_035,ORG_015,Person,Company,监事,2022-11-21
EMPLOY_0036,EMPLOYED_BY,USER_036,ORG_016,Person,Company,总经理,2023-12-03
EMPLOY_0037,EMPLOYED_BY,USER_037,ORG_017,Person,Company,副总经理,2015-01-10
EMPLOY_0038,EMPLOYED_BY,USER_038,ORG_018,Person,Company,财务总监,2016-02-17
EMPLOY_0039,EMPLOYED_BY,USER_039,ORG_019,Person,Company,法务总监,2017-03-24
EMPLOY_0040,EMPLOYED_BY,USER_040,ORG_020,Person,Company,风控负责人,2018-04-06
EMPLOY_0041,EMPLOYED_BY,USER_041,ORG_001,Person,Company,董事长,2019-05-13
EMPLOY_0042,EMPLOYED_BY,USER_042,ORG_002,Person,Company,副董事长,2020-06-20
EMPLOY_0043,EMPLOYED_BY,USER_043,ORG_003,Person,Company,监事,2021-07-02
EMPLOY_0044,EMPLOYED_BY,USER_044,ORG_004,Person,Company,总经理,2022-08-09
EMPLOY_0045,EMPLOYED_BY,USER_045,ORG_005,Person,Company,副总经理,2023-09-16
EMPLOY_0046,EMPLOYED_BY,USER_046,ORG_006,Person,Company,财务总监,2015-10-23
EMPLOY_0047,EMPLOYED_BY,USER_047,ORG_007,Person,Company,法务总监,2016-11-05
EMPLOY_0048,EMPLOYED_BY,USER_048,ORG_008,Person,Company,风控负责人,2017-12-12
EMPLOY_0049,EMPLOYED_BY,USER_049,ORG_009,Person,Company,董事长,2018-01-19
EMPLOY_0050,EMPLOYED_BY,USER_050,ORG_010,Person,Company,副董事长,2019-02-01
EMPLOY_0051,EMPLOYED_BY,USER_051,ORG_011,Person,Company,监事,2020-03-08
EMPLOY_0052,EMPLOYED_BY,USER_052,ORG_012,Person,Company,总经理,2021-04-15
EMPLOY_0053,EMPLOYED_BY,USER_053,ORG_013,Person,Company,副总经理,2022-05-22
EMPLOY_0054,EMPLOYED_BY,USER_054,ORG_014,Person,Company,财务总监,2023-06-04
EMPLOY_0055,EMPLOYED_BY,USER_055,ORG_015,Person,Company,法务总监,2015-07-11
EMPLOY_0056,EMPLOYED_BY,USER_056,ORG_016,Person,Company,风控负责人,2016-08-18
EMPLOY_0057,EMPLOYED_BY,USER_057,ORG_017,Person,Company,董事长,2017-09-25
EMPLOY_0058,EMPLOYED_BY,USER_058,ORG_018,Person,Company,副董事长,2018-10-07
EMPLOY_0059,EMPLOYED_BY,USER_059,ORG_019,Person,Company,监事,2019-11-14
EMPLOY_0060,EMPLOYED_BY,USER_060,ORG_020,Person,Company,总经理,2020-12-21
EMPLOY_0061,EMPLOYED_BY,USER_061,ORG_001,Person,Company,副总经理,2021-01-03
EMPLOY_0062,EMPLOYED_BY,USER_062,ORG_002,Person,Company,财务总监,2022-02-10
EMPLOY_0063,EMPLOYED_BY,USER_063,ORG_003,Person,Company,法务总监,2023-03-17
EMPLOY_0064,EMPLOYED_BY,USER_064,ORG_004,Person,Company,风控负责人,2015-04-24
EMPLOY_0065,EMPLOYED_BY,USER_065,ORG_005,Person,Company,董事长,2016-05-06
EMPLOY_0066,EMPLOYED_BY,USER_066,ORG_006,Person,Company,副董事长,2017-06-13
EMPLOY_0067,EMPLOYED_BY,USER_067,ORG_007,Person,Company,监事,2018-07-20
EMPLOY_0068,EMPLOYED_BY,USER_068,ORG_008,Person,Company,总经理,2019-08-02
EMPLOY_0069,EMPLOYED_BY,USER_069,ORG_009,Person,Company,副总经理,2020-09-09
EMPLOY_0070,EMPLOYED_BY,USER_070,ORG_010,Person,Company,财务总监,2021-10-16
EMPLOY_0071,EMPLOYED_BY,USER_071,ORG_011,Person,Company,法务总监,2022-11-23
EMPLOY_0072,EMPLOYED_BY,USER_072,ORG_012,Person,Company,风控负责人,2023-12-05
EMPLOY_0073,EMPLOYED_BY,USER_073,ORG_013,Person,Company,董事长,2015-01-12
EMPLOY_0074,EMPLOYED_BY,USER_074,ORG_014,Person,Company,副董事长,2016-02-19
EMPLOY_0075,EMPLOYED_BY,USER_075,ORG_015,Person,Company,监事,2017-03-01
EMPLOY_0076,EMPLOYED_BY,USER_076,ORG_016,Person,Company,总经理,2018-04-08
EMPLOY_0077,EMPLOYED_BY,USER_077,ORG_017,Person,Company,副总经理,2019-05-15
EMPLOY_0078,EMPLOYED_BY,USER_078,ORG_018,Person,Company,财务总监,2020-06-22
EMPLOY_0079,EMPLOYED_BY,USER_079,ORG_019,Person,Company,法务总监,2021-07-04
EMPLOY_0080,EMPLOYED_BY,USER_080,ORG_020,Person,Company,风控负责人,2022-08-11
